,Metric,Value
0,precision,0.8433734939759037
1,recall,0.9859154929577465
2,f1_score,0.9090909090909092
3,accuracy,0.9066666666666666
4,specificity,0.8354430379746836
5,sensitivity,0.9859154929577465
