,Metric,Value
0,precision,0.9054054054054054
1,recall,0.9436619718309859
2,f1_score,0.9241379310344827
3,accuracy,0.9266666666666666
4,specificity,0.9113924050632911
5,sensitivity,0.9436619718309859
